ID,likes,views,engajamento,cluster,cluster_ordenado
wy2iLgERLkE,10,1329,0.007524454477050414,0,0
lpYPEUJObQ0,192,47659,0.004028619987830211,0,0
0wyyX1FspRE,5,352,0.014204545454545454,0,0
yoOQgGkYGZ0,4,1254,0.003189792663476874,0,0
9JY2vuxdWnU,525,44770,0.011726602635693546,0,0
lkFejnE_6Mo,124873,7006371,0.01782277872524878,0,0
MRDBYz3PCXQ,1,230,0.004347826086956522,0,0
VHiacccJw7g,6,394,0.015228426395939087,0,0
N8XdchwemrU,0,145,0.0,0,0
QUUKCluhPT0,179,11738,0.01524961662974953,0,0
87wbUWUF68Y,346,20914,0.016543941857129197,0,0
fiO27fz3DJI,1392406,134285964,0.010368961569207635,0,0
nhuxzE016oU,3904,397524,0.009820790694398326,0,0
SBh6dJMM6AI,6030,486652,0.012390784379803227,0,0
T7YEmRTa5MQ,2940,228099,0.012889140241737141,0,0
tRbpSljw5-s,10,3737,0.002675943270002676,0,0
3ziIdlgJQTk,6,362,0.016574585635359115,0,0
ffxpAExL8Ok,25,2602,0.009607993850883935,0,0
eGdxXGJglLQ,17,13747,0.0012366334472975922,0,0
FEtprl6I9_w,7,2394,0.0029239766081871343,0,0
kEFwaP4_6FM,160,36037,0.004439881233177012,0,0
FOjRjrlPg3o,6,500,0.012,0,0
7fCC4xob94A,123,7221,0.01703365184877441,0,0
TCttcJjnxfs,90612,5923953,0.01529586747227738,0,0
oyRjS_6hGtk,7152,454251,0.015744599351459877,0,0
pvGVFzlikYc,56,16666,0.003360134405376215,0,0
JN2aSu_NXLo,0,7176045,0.0,0,0
Y9lGSRcIQ68,33,3748,0.008804695837780149,0,0
0GTpRnUBveA,0,5,0.0,0,0
7Q22PHY6nP8,93,6113,0.015213479469982005,0,0
14XvT5iEfns,0,23,0.0,0,0
Ia1QXHPfKJw,4,368,0.010869565217391304,0,0
tELhGLWkuZY,0,40539,0.0,0,0
JOfCZohKHrw,780,58506,0.013331965952210029,0,0
HFTRoBMGGOI,56322,3779485,0.014902030303070392,0,0
ksG87OUZOkA,2074,240315,0.008630339346274682,0,0
FFBSI9VGphA,5433,556533,0.00976222434249182,0,0
jvZBRHiLKiE,1272280,130750481,0.009730595178460567,0,0
o-2s9sM8YS4,0,7,0.0,0,0
G0OyNjTZs84,3,435,0.006896551724137931,0,0
24YsiQewxeQ,0,357,0.0,0,0
7UKiv4KsZDg,0,156,0.0,0,0
