ID,likes,views,engajamento,cluster,cluster_ordenado
7Usk_Gcn_hc,103989,1839024,0.05654575470466943,2,2
Soj850lcZiA,1617,28165,0.05741168116456595,2,2
1ibpxkWlcoE,22844,370264,0.06169651924032582,2,2
9IVxOTuRVBk,987,15911,0.062032556093268805,2,2
CSVzWR98Tk8,666,8464,0.07868620037807184,2,2
go-xrFCqP9g,72,938,0.0767590618336887,2,2
TNMWuO-viDc,1,16,0.0625,2,2
6XuPwdESzqc,59,1036,0.05694980694980695,2,2
Ca340RM9zhA,836,13050,0.06406130268199234,2,2
VsHECCRhjXk,1627,27710,0.05871526524720318,2,2
6Th-RGQShjc,121447,1960812,0.06193709544821227,2,2
zO5lxz3Tmxo,8,144,0.05555555555555555,2,2
AVlggsXkiLc,26,301,0.08637873754152824,2,2
tmYUZSytIdE,45,778,0.05784061696658098,2,2
Ciiyz68E3a0,16211,205407,0.07892136100522378,2,2
rrLwckDaYsc,129,2429,0.0531082750102923,2,2
