ID,cluster_engage,cluster_transcript,cluster_caption,cluster
7fCC4xob94A,0,-1,C,4
lkFejnE_6Mo,0,-1,C,4
tRbpSljw5-s,0,3,C,4
FEtprl6I9_w,0,3,C,4
kEFwaP4_6FM,0,-1,C,4
TCttcJjnxfs,0,-1,A,4
oyRjS_6hGtk,0,-1,E,4
7Q22PHY6nP8,0,-1,C,4
HFTRoBMGGOI,0,-1,C,4
ksG87OUZOkA,0,-1,C,4
FFBSI9VGphA,0,-1,C,4
jvZBRHiLKiE,0,-1,E,4
7UKiv4KsZDg,0,-1,C,4
