ID,cluster_engage,cluster_transcript,cluster_caption,cluster
N8XdchwemrU,0,2,A,1
fiO27fz3DJI,0,2,A,1
ffxpAExL8Ok,0,2,A,1
URFUBzk0ff8,1,2,E,1
KVLTxKyxioA,1,2,B,1
8h-B0v6qa0A,1,1,D,1
IkxkU2xquKY,1,2,E,1
z8T29GYPlVM,1,-1,A,1
rebIOhS7L_M,1,2,E,1
rAOKLGKWa5I,1,2,A,1
kEYlGbgg9Kw,1,1,A,1
85WsCSmW3Xc,1,2,A,1
ECzzX0PfIeE,1,2,D,1
posTc56basM,3,4,A,1
IItwxAzoMXs,1,0,E,1
ltL3q16mPvk,1,2,E,1
lgD_G0_5EYE,1,4,E,1
Te1ov1q5P1I,1,4,A,1
o-2s9sM8YS4,0,2,A,1
gxiUxd9Zkbg,1,4,D,1
