ID,cluster_engage,cluster_transcript,cluster_caption,cluster
7Usk_Gcn_hc,2,2,C,0
PTelAW-QYVI,1,2,C,0
Soj850lcZiA,2,2,C,0
1ibpxkWlcoE,2,2,B,0
CSVzWR98Tk8,2,0,E,0
go-xrFCqP9g,2,2,B,0
TNMWuO-viDc,2,2,B,0
63LbwNScJAM,1,2,C,0
Ca340RM9zhA,2,4,C,0
VsHECCRhjXk,2,2,A,0
AVlggsXkiLc,2,2,B,0
rrLwckDaYsc,2,0,E,0
